domain,item,graph_type,n_nodes,n_edges_mean,n_samples,D_X,D_dX,D_X_norm,D_dX_norm,R_low_X_2,R_low_X_4,R_low_X_8,R_low_dX_2,R_low_dX_4,R_low_dX_8,trace,frobenius_norm,lambda_max,spectral_gap,condition_spread
HO,lattice,true_graph,64,112.0,100,36.06943864100161,0.3885340601625809,2.495661704050937,4.32502980859757,0.0672269290427284,0.25319175580161196,0.32442526162361135,0.00456029103610627,0.019712029228056614,0.03813954353690572,224.0,32.12475680841802,7.695518130045147,0.15224093497742666,50.54828473817633
HO,lattice,permuted_graph,64,112.0,480,51.067025446966724,0.3208244146703007,3.5291063656156627,3.572608426219,0.01641428645637252,0.04979286054697885,0.11269928538370251,0.015728770966073183,0.04681554573564221,0.11029103878264418,224.0,32.12475680841801,7.695518130045147,0.15224093497742666,50.54828473817633
HO,lattice,random_graph,64,112.0,480,51.58548318868246,0.3193369512711532,3.5649356018121563,3.5560444615377333,0.021422912610113296,0.049771317838924564,0.11054680761650511,0.020772039983184627,0.048747158932124564,0.11082250112052122,224.0,34.817453141585524,10.1754483237863,0.04627755785366718,34.588504886482845
HO,random,true_graph,64,98.0,100,33.16178532005447,0.3438292839416109,2.117393196768072,4.155498618500167,0.11779946496306183,0.19064033460462093,0.3046224776870988,0.006159397282154893,0.014806020942098062,0.03841429924657265,196.0,30.3315017762062,7.843117895548263,0.10297882531581257,76.16243311666462
HO,random,permuted_graph,64,98.0,480,48.65976770147228,0.2584584446646947,3.111762505739919,3.1205652393868406,0.016733884326611617,0.047876693949897124,0.11252267021129528,0.015454774793265494,0.04821778207976792,0.11044273904287098,196.0,30.331501776206206,7.843117895548262,0.10297882531581258,76.16243311666462
HO,random,random_graph,64,98.0,480,48.862499627597984,0.256299152828231,3.124727088931205,3.094494467912138,0.022210688221201633,0.049055239472249317,0.10950627398622546,0.023782126784225855,0.05143472397784918,0.11209567190513117,196.0,31.284159728733638,9.461145366014645,0.007022701542274462,46.48555083750272
HO,scalefree,true_graph,64,124.0,100,39.568937925122775,0.7027595232871343,3.6150129595271605,7.149613225458169,0.059315259248832755,0.07448747963802636,0.15445426385537073,0.010794305721170567,0.01416023109694119,0.03415356256314384,248.0,42.16633728461603,16.091602008027337,0.6109350820066322,26.339299349407217
HO,scalefree,permuted_graph,64,124.0,480,42.999846555304124,0.3848432979991246,3.920647086702445,3.9276123093852804,0.015626613470018605,0.04737399973365039,0.11065517497354355,0.016082629276621605,0.04929360924477881,0.11385427121472941,248.0,42.16633728461603,16.091602008027333,0.610935082006632,26.339299349407217
HO,scalefree,random_graph,64,124.0,480,42.97074257214538,0.38805031276846325,3.917993438935679,3.9603422822077863,0.019182484884744538,0.049969309930566384,0.11228251299034259,0.018581776136771224,0.04922606841152487,0.10981731580512576,248.0,37.88064938573316,10.84812175610546,0.10677310294242327,28.8482744093701
rMD17,aspirin,true_graph,21,58.109154929577464,284,470.0946862144406,210.82524765128838,2.522109576384603,3.563580268584704,0.6162179403155912,0.9220910737699561,,0.2142116517095293,0.5384567091311767,,116.19993571621205,26.975380479634048,8.372592968458873,1.949474871746153,4.314008990859485
rMD17,aspirin,permuted_graph,21,58.104166666666664,288,1076.6256858899692,342.07857509636517,5.77567947716907,5.762670415624901,0.05275747388998412,0.15273016092027694,,0.051316361763158805,0.1536158660609386,,116.19160409193518,26.97365303168856,8.372291238584967,1.9490143790457297,4.314631133941576
rMD17,aspirin,random_graph,21,58.104166666666664,288,1082.0139887024075,345.45905249034666,5.804585633113925,5.819618083462614,0.052129076297950355,0.1472575999717104,,0.055260993397928324,0.15107306053256211,,116.1916040919352,26.44268834202158,7.514014093464946,3.661172486342222,2.070982557054813
rMD17,ethanol,true_graph,9,18.676056338028168,284,79.27018064106169,123.16632232594371,3.6844083873290683,3.8482248066263915,0.5773353911790317,,,0.36635422752034025,,,37.265661878640984,13.374494431927342,5.962498187313465,3.3587749822687756,1.7768617371145246
rMD17,ethanol,permuted_graph,9,18.67361111111111,288,99.92349036228309,148.48374428037008,4.643079129544984,4.643241422570964,0.12956411263212345,,,0.13249175157236456,,,37.26231942056645,13.373359884607176,5.962326353606969,3.3580685669807986,1.7771977973489226
rMD17,ethanol,random_graph,9,18.67361111111111,288,100.182775349897,148.9054219425009,4.655127154591243,4.656427722507486,0.11125526125088002,,,0.11690482401409158,,,37.26231942056645,13.17421937251086,4.65778992757081,4.657789927570802,1.0000000000000016
rMD17,malonaldehyde,true_graph,9,17.151408450704224,284,86.83515226118298,116.4127411438004,3.3205065983016686,3.543690108514891,0.6165114380151574,,,0.33059439458823603,,,34.513886454694955,12.419866996758417,5.650472859098059,3.0281646012461834,1.866667233519587
rMD17,malonaldehyde,permuted_graph,9,17.149305555555557,288,112.53259562908988,141.1113033685392,4.302378037955067,4.306108790453007,0.1282681361815875,,,0.12629364865229126,,,34.513232461555305,12.419687243144875,5.650663607718437,3.027931454187221,1.8668671975500581
rMD17,malonaldehyde,random_graph,9,17.149305555555557,288,112.7940162292988,141.3457556003666,4.3123727443129924,4.313263262081524,0.11221296390225523,,,0.0979762817834871,,,34.5132324615553,12.202270357116715,4.314154057694416,4.314154057694409,1.0000000000000016
rMD17,naphthalene,true_graph,18,50.098591549295776,284,388.45572390490145,12.484035672299003,3.1317237879065467,4.321752000922035,0.6478225418070752,0.9474062418201026,,0.1247545322447352,0.5454402229690317,,100.14060402365165,24.97311490319453,7.8775486326915365,2.6282482306756623,2.999227980257256
rMD17,naphthalene,permuted_graph,18,50.104166666666664,288,729.8013826435487,16.95266427887691,5.883892448937304,5.8883042142149,0.05941323015176789,0.17896487326911095,,0.058372720570241565,0.16847214707193078,,100.14790246704514,24.974755926872277,7.877681363415285,2.6284803242351833,2.9990066700359
rMD17,naphthalene,random_graph,18,50.104166666666664,288,730.9463929396552,16.879873896832052,5.8931238886076605,5.863021349746034,0.05924523905164563,0.17574819834615285,,0.0633976240281806,0.18277200298717206,,100.14790246704514,24.54415821576275,7.011121751790834,4.113585589383781,1.7107510980150882
rMD17,toluene,true_graph,15,39.50704225352113,284,281.1845017201154,247.46763136880568,3.4881651429065084,4.330370104924926,0.6336424802441168,,,0.015677693815644177,,,78.98081404082903,21.58991803595803,7.248736516732177,2.990787619580184,2.426603223322892
rMD17,toluene,permuted_graph,15,39.513888888888886,288,455.10069852857765,323.68561622309903,5.64634827000778,5.66655940314863,0.07265740915971684,,,0.07193000312247662,,,78.98925735171403,21.59213963823417,7.249203731471253,2.9912240846143714,2.4263818287054577
rMD17,toluene,random_graph,15,39.513888888888886,288,454.64998865240455,322.4685363646648,5.640756397840074,5.645252755677958,0.06867924301964146,,,0.0638738807836693,,,78.98925735171403,21.22926023286325,6.158092741426961,4.334785919065293,1.425513224255315
